Datetime,Text
2022-01-25 17:51:19+00:00,"Aerojet Rocketdyne Holdings is Now Oversold ( $AJRD) 

$RIOT $AMC $BBIG $GME $PYPL $MARA $SQ $NFLX $DXY $SPY $QQQ $DJIA $DIA $AMZN $TSLA $F $GM $NKE $AAPL $LCID $RIVN $HMC $MSFT $FB $SNAP $GOOG $NFT $BTC $ETH $DOGE $COIN $JPM $BAC $C $ADBE $BABA 👇👇
 https://t.co/09vKxJ3FUn"
2022-01-25 17:50:27+00:00,"1x LEVERAGE FAM 

Short $FB $MSFT $USO $REM $GOOGL $QQQ $AMZN $GSG $DIA $GDX $SPY $LQD $HYG $IGSB $TLT $DBC $AAPL $EMB $IWM $NVDA $VGK $EEM $VNQ $CPER $BITO 

Long $IEI $SHY $SHV $BIL $GLD $UUP $FXF $FXY $VXX

JUST HOLDING VOLQ PIG PORTFOLIO

WIFEY 🐷👸🏼"
2022-01-25 17:50:00+00:00,Also long $GLD as of this morning. 5% for now. Out of $MRVL and $AAPL and $MTN longs at BE roughly. Still short $PFE. https://t.co/ldiilpX2hV
2022-01-25 17:48:49+00:00,"$AMC $BBIG $GME $PYPL $MARA $SQ $NFLX $DXY $SPY $QQQ $DJIA $DIA $AMZN $TSLA $F $GM $NKE $AAPL $LCID $RIVN $HMC $MSFT $FB $SNAP $GOOG I’ve made 265k with their alerts, Make as much as you want.100% Free trading chat.'''' https://t.co/r5yHq7BAJD"
2022-01-25 17:48:15+00:00,"MSFT earnings today, the fed tomorrow. The AAPL on Thursday. The market is getting closely."
2022-01-25 17:48:07+00:00,"$aapl shorts have to exit before $msft reports AH today. Fed = ""sell the news."" Blowout expected per below and $IBM rally now. $amzn $tsla https://t.co/aQg2zzAZps"
2022-01-25 17:47:41+00:00,"Oversold Conditions For $IAA | Nasdaq  

$RIOT $AMC $BBIG $GME $PYPL $MARA $SQ $NFLX $DXY $SPY $QQQ $DJIA $DIA $AMZN $TSLA $F $GM $NKE $AAPL $LCID $RIVN $HMC $MSFT $FB $SNAP $GOOG $NFT $BTC $ETH $DOGE $COIN $JPM $BAC $C $ADBE $BABA $CVS $HD 👇👇
https://t.co/6Br4LGBGi3"
2022-01-25 17:47:07+00:00,Looking at selling $AAPL 2/4 puts at $155  - ~2.6% cash basis return on the premium and decent entry point for long term Apple hold
2022-01-25 17:46:15+00:00,"FANG+ Constituents:

$AAPL 158.27 -2.08%
$AMZN 2788.83 -3.57%
$BABA 118.74 -1.35%
$BIDU 151.07 +1.4%
$FB 300.85 -2.54%
$GOOG 2540.93 -2.57%
$NFLX 370.65 -4.25%
$NVDA 221.27 -5.33%
$TSLA 910.77 -2.07%
$MSFT 288.33 -2.72%"
2022-01-25 17:46:02+00:00,"eSIX levels 
 
$AAPL $AMD $NVDA $TLSA $MRNA $FB https://t.co/ir2HDz78yY"
2022-01-25 17:46:00+00:00,"I'm part of a server where top traders actually get paid based on results (over $70k last month). All based on merit. That's how you know you're getting the best alerts https://t.co/MO6dcdsoZK

$WISH $XOM $RIOT $SKLZ $DRNA $AAPL $AMZN $TSLA $BTC $FB $SPY $NFLX $AMD $MSFT $AMC"
2022-01-25 17:45:42+00:00,"📍
تقول جي بي مورغان المستثمرين الافراد 
تخلصوا من الاسهم مع بداية افتتاح السوق يوم الاثنين 
وبلغت قيمة عمليات البيع من الاسهم 1.3 مليار دولار ، وشملت عمليات البيع شركات مثل : $AAPL , $TSLA  

#الأسواق_العالميه  🇺🇸🇺🇸 https://t.co/6nBoYt6LHM"
2022-01-25 17:45:39+00:00,"Tuesday’s ETF with Unusual Volume: $DSI  

$RIOT $AMC $BBIG $GME $PYPL $MARA $SQ $NFLX $DXY $SPY $QQQ $DJIA $DIA $AMZN $TSLA $F $GM $NKE $AAPL $LCID $RIVN $HMC $MSFT $FB $SNAP $GOOG $NFT $BTC $ETH $DOGE $COIN $JPM $BAC $C $ADBE $BABA $CVS $HD 👇👇
https://t.co/E9Tr1BGSFH"
2022-01-25 17:45:27+00:00,@JPATrades Rode SPY down 2x up 1x and then AAPL up because that SPY wick is killing my charts and I can't deal with it
